PU_ID,PU_Lat,PU_Lon,Number_of_genera,Country,Ecoregion,Management,Habitat,Observer,Depth,Coralcover,SSTRateofRise,PARmax,Calcite,Dis_oxygen,mean.waveNRJ,Salinity_mean,andrello_reef_value,andrello_nutrients,mean.npp,TT_market_hrs,TT_pop_hrs,cumDHW,SST_Kurtosis,SST_Median,ChlorA_median,andrello_sediments,Current_vel_mean,Diff_attenuation,Grav_NP,Grav_NC,PH,SST_bimodality,SST_Skewness,ClimateStressModel,Netflow,Indegree,Outdegree,Retention,min_yr,max_yr,no_replicates
97,39.121627,-6.164732,20,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Ussi,2.75,38,0.020167162,52.09199905,0.012407,4.766499996,0.050912436,35.11125,286,0.409850091,1253.178833,0.333333333,0.25,30.27244936,-0.976626546,27.54,0.432542756,86.80181122,0.68133,0.099999998,1.559208171,1002.011273,8.217000008,0.511142884,-0.186020147,0.663399994,0.0310085,63,51.75,49.25,2010,2016,2
98,39.144085,-6.164732,20,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Nyawira,8,37,0.020013603,52.09199905,0.012407,4.766499996,0.050912436,35.11125,286,0.409850091,1253.178833,0.333333333,0.25,30.65467118,-0.9766838,27.53,0.545123763,86.80181122,0.68133,0.099999998,1.559208171,1002.011273,8.217000008,0.510942798,-0.18484926,0.674250007,0.0310085,63,51.75,49.25,2019,2019,1
132,39.166543,-6.277104,25,Tanzania,East African Coral Coast,UnfishedHigh,Crest,Nyawira,5,49,0.019693649,52.17849922,0.005747,4.76850009,0.04186308,35.1168935,92,0.442794859,1309.683472,0.683333333,0.4,31.57805492,-1.004847664,27.535,0.435829259,36.61381531,0.6272445,0.080499999,0.003411344,242.501675,8.216499805,0.518022934,-0.184147244,0.595049977,-0.333297094,83.75,27,118,2010,2010,1
132,39.166543,-6.277104,27,Tanzania,East African Coral Coast,UnfishedHigh,Crest,Tim,5,49,0.019693649,52.17849922,0.005747,4.76850009,0.04186308,35.1168935,92,0.442794859,1309.683472,0.683333333,0.4,31.57805492,-1.004847664,27.535,0.435829259,36.61381531,0.6272445,0.080499999,0.003411344,242.501675,8.216499805,0.518022934,-0.184147244,0.595049977,-0.333297094,83.75,27,118,2005,2005,1
132,39.166543,-6.277104,33,Tanzania,East African Coral Coast,UnfishedHigh,Crest,Ussi,5,49,0.019693649,52.17849922,0.005747,4.76850009,0.04186308,35.1168935,92,0.442794859,1309.683472,0.683333333,0.4,31.57805492,-1.004847664,27.535,0.435829259,36.61381531,0.6272445,0.080499999,0.003411344,242.501675,8.216499805,0.518022934,-0.184147244,0.595049977,-0.333297094,83.75,27,118,2010,2010,1
132,39.166543,-6.277104,32,Tanzania,East African Coral Coast,UnfishedHigh,Slope,Muhando,8,49,0.019693649,52.17849922,0.005747,4.76850009,0.04186308,35.1168935,92,0.442794859,1309.683472,0.683333333,0.4,31.57805492,-1.004847664,27.535,0.435829259,36.61381531,0.6272445,0.080499999,0.003411344,242.501675,8.216499805,0.518022934,-0.184147244,0.595049977,-0.333297094,83.75,27,118,2010,2010,2
132,39.166543,-6.277104,32,Tanzania,East African Coral Coast,UnfishedHigh,Slope,Tim,2,49,0.019693649,52.17849922,0.005747,4.76850009,0.04186308,35.1168935,92,0.442794859,1309.683472,0.683333333,0.4,31.57805492,-1.004847664,27.535,0.435829259,36.61381531,0.6272445,0.080499999,0.003411344,242.501675,8.216499805,0.518022934,-0.184147244,0.595049977,-0.333297094,83.75,27,118,2012,2012,2
132,39.166543,-6.277104,20,Tanzania,East African Coral Coast,UnfishedHigh,Slope,Muhando,5,49,0.019693649,52.17849922,0.005747,4.76850009,0.04186308,35.1168935,92,0.442794859,1309.683472,0.683333333,0.4,31.57805492,-1.004847664,27.535,0.435829259,36.61381531,0.6272445,0.080499999,0.003411344,242.501675,8.216499805,0.518022934,-0.184147244,0.595049977,-0.333297094,83.75,27,118,2016,2016,2
132,39.166543,-6.277104,20,Tanzania,East African Coral Coast,UnfishedHigh,Slope,Nyawira,3.5,49,0.019693649,52.17849922,0.005747,4.76850009,0.04186308,35.1168935,92,0.442794859,1309.683472,0.683333333,0.4,31.57805492,-1.004847664,27.535,0.435829259,36.61381531,0.6272445,0.080499999,0.003411344,242.501675,8.216499805,0.518022934,-0.184147244,0.595049977,-0.333297094,83.75,27,118,2016,2016,4
132,39.166543,-6.277104,25,Tanzania,East African Coral Coast,UnfishedHigh,Slope,Tim,3.6,49,0.019693649,52.17849922,0.005747,4.76850009,0.04186308,35.1168935,92,0.442794859,1309.683472,0.683333333,0.4,31.57805492,-1.004847664,27.535,0.435829259,36.61381531,0.6272445,0.080499999,0.003411344,242.501675,8.216499805,0.518022934,-0.184147244,0.595049977,-0.333297094,83.75,27,118,2015,2016,5
132,39.166543,-6.277104,21,Tanzania,East African Coral Coast,UnfishedHigh,Slope,Ussi,5,49,0.019693649,52.17849922,0.005747,4.76850009,0.04186308,35.1168935,92,0.442794859,1309.683472,0.683333333,0.4,31.57805492,-1.004847664,27.535,0.435829259,36.61381531,0.6272445,0.080499999,0.003411344,242.501675,8.216499805,0.518022934,-0.184147244,0.595049977,-0.333297094,83.75,27,118,2016,2016,2
172,39.346206,-6.411917,32,Tanzania,East African Coral Coast,Fished,Lagoon/Back reef,Nyawira,3,40,0.018813699,52.98749924,0.000496,4.768000126,1.571779609,35.125641,37,0.248470858,1229.026855,0.916666667,0.45,35.22713902,-1.007795087,27.46,0.420420714,11.63766766,0.6562865,0.074000001,0.172400422,134.0734332,8.215000153,0.515212335,-0.163652216,0.609349996,0.550053927,85.5,84.25,0,2019,2019,2
178,39.323748,-6.434383,17,Tanzania,East African Coral Coast,Fished,Slope,Nyawira,8.5,40,0.019027397,53.32099915,0.0003595,4.76850009,2.426483631,35.1246265,37,0.248470858,1207.543213,0.916666667,0.45,36.43261419,-1.009714099,27.49,0.346052937,11.63766766,0.732252,0.077,0.172400422,134.0734332,8.215499878,0.516131599,-0.16620353,0.560900003,0.550053927,85.5,84.25,0,2019,2019,1
179,39.346206,-6.434383,17,Tanzania,East African Coral Coast,Fished,Slope,Nyawira,7,40,0.018813699,52.88299942,0.000403,4.768000126,2.426483631,35.127316,37,0.248470858,1207.543213,0.916666667,0.45,35.22713902,-1.007795087,27.46,0.359635338,11.63766766,0.700647,0.077,0.172400422,134.0734332,8.215000153,0.515212335,-0.163652216,0.602100015,0.550053927,85.5,84.25,0,2019,2019,1
220,39.233916,-6.658981,17,Tanzania,East African Coral Coast,UnfishedLow,Slope,Nyawira,3,50,0.019705479,54.49700165,0.005484,4.769500017,2.580135584,35.1159385,1999,5.461948395,1225.299561,0.55,0.166666667,31.30459372,-1.050762614,27.5125,0.5363518,376.6393738,0.573046,0.167499997,2.088395343,2482.528053,8.215999603,0.527900323,-0.171422714,0.621299982,-0.443779163,127.5,62.25,204.75,2016,2016,1
220,39.233916,-6.658981,19,Tanzania,East African Coral Coast,UnfishedLow,Slope,Tim,2.833333333,50,0.019705479,54.49700165,0.005484,4.769500017,2.580135584,35.1159385,1999,5.461948395,1225.299561,0.55,0.166666667,31.30459372,-1.050762614,27.5125,0.5363518,376.6393738,0.573046,0.167499997,2.088395343,2482.528053,8.215999603,0.527900323,-0.171422714,0.621299982,-0.443779163,127.5,62.25,204.75,2012,2019,3
221,39.256374,-6.658981,25,Tanzania,East African Coral Coast,UnfishedLow,Lagoon/Back reef,Nyawira,10,50,0.019248292,54.11725044,0.00296375,4.769250035,2.580135584,35.1230185,1999,5.461948395,1225.299561,0.55,0.166666667,30.42884776,-1.048608532,27.505,0.471442617,376.6393738,0.67697875,0.128749998,2.088395343,2482.528053,8.215499878,0.526911492,-0.169093391,0.52759999,-0.443779163,127.5,62.25,204.75,2016,2016,1
221,39.256374,-6.658981,19,Tanzania,East African Coral Coast,UnfishedLow,Lagoon/Back reef,Tim,10,50,0.019248292,54.11725044,0.00296375,4.769250035,2.580135584,35.1230185,1999,5.461948395,1225.299561,0.55,0.166666667,30.42884776,-1.048608532,27.505,0.471442617,376.6393738,0.67697875,0.128749998,2.088395343,2482.528053,8.215499878,0.526911492,-0.169093391,0.52759999,-0.443779163,127.5,62.25,204.75,2016,2016,1
221,39.256374,-6.658981,12,Tanzania,East African Coral Coast,UnfishedLow,Lagoon/Back reef,Nyawira,3,50,0.019248292,54.11725044,0.00296375,4.769250035,2.580135584,35.1230185,1999,5.461948395,1225.299561,0.55,0.166666667,30.42884776,-1.048608532,27.505,0.471442617,376.6393738,0.67697875,0.128749998,2.088395343,2482.528053,8.215499878,0.526911492,-0.169093391,0.52759999,-0.443779163,127.5,62.25,204.75,2016,2016,1
221,39.256374,-6.658981,17,Tanzania,East African Coral Coast,UnfishedLow,Lagoon/Back reef,Tim,2.6,50,0.019248292,54.11725044,0.00296375,4.769250035,2.580135584,35.1230185,1999,5.461948395,1225.299561,0.55,0.166666667,30.42884776,-1.048608532,27.505,0.471442617,376.6393738,0.67697875,0.128749998,2.088395343,2482.528053,8.215499878,0.526911492,-0.169093391,0.52759999,-0.443779163,127.5,62.25,204.75,2005,2019,5
230,39.256374,-6.703888,17,Tanzania,East African Coral Coast,Restricted,Channel,Nyawira,3,41,0.019423516,54.16950035,0.0016595,4.769000053,0.10706538,35.124598,1223,0,1225.299561,0.55,0.166666667,31.23245961,-1.044225688,27.495,0.417227253,0,0.6886475,0.127499998,2.088395343,2482.528053,8.215499878,0.525665643,-0.168714081,0.635200024,-0.443779163,127.5,62.25,204.75,2016,2016,1
230,39.256374,-6.703888,23,Tanzania,East African Coral Coast,Restricted,Slope,Tim,2,41,0.019423516,54.16950035,0.0016595,4.769000053,0.10706538,35.124598,1223,0,1225.299561,0.55,0.166666667,31.23245961,-1.044225688,27.495,0.417227253,0,0.6886475,0.127499998,2.088395343,2482.528053,8.215499878,0.525665643,-0.168714081,0.635200024,-0.443779163,127.5,62.25,204.75,2005,2012,3
230,39.256374,-6.703888,18,Tanzania,East African Coral Coast,UnfishedLow,Channel,Tim,3,41,0.019423516,54.16950035,0.0016595,4.769000053,0.10706538,35.124598,1223,0,1225.299561,0.55,0.166666667,31.23245961,-1.044225688,27.495,0.417227253,0,0.6886475,0.127499998,2.088395343,2482.528053,8.215499878,0.525665643,-0.168714081,0.635200024,-0.443779163,127.5,62.25,204.75,2019,2019,1
230,39.256374,-6.703888,21,Tanzania,East African Coral Coast,UnfishedLow,Slope,Nyawira,2.5,41,0.019423516,54.16950035,0.0016595,4.769000053,0.10706538,35.124598,1223,0,1225.299561,0.55,0.166666667,31.23245961,-1.044225688,27.495,0.417227253,0,0.6886475,0.127499998,2.088395343,2482.528053,8.215499878,0.525665643,-0.168714081,0.635200024,-0.443779163,127.5,62.25,204.75,2016,2016,1
230,39.256374,-6.703888,17,Tanzania,East African Coral Coast,UnfishedLow,Slope,Tim,2.625,41,0.019423516,54.16950035,0.0016595,4.769000053,0.10706538,35.124598,1223,0,1225.299561,0.55,0.166666667,31.23245961,-1.044225688,27.495,0.417227253,0,0.6886475,0.127499998,2.088395343,2482.528053,8.215499878,0.525665643,-0.168714081,0.635200024,-0.443779163,127.5,62.25,204.75,2012,2019,4
525,39.593242,-8.049035,25,Tanzania,East African Coral Coast,Restricted,n/a,Tim,1,34,0.016842719,53.44399834,0.0063955,4.719499826,3.109562397,35.082369,6,1.117109776,992.6535034,5.5,0.583333333,27.26715218,-1.010250121,27.53,0.636088565,3.808632612,0.518956,0.161499999,0.000794152,24.83690485,8.21050024,0.514941088,-0.158041996,0.504000008,0.695919978,97.75,36.5,0,2007,2007,2
533,39.436037,-8.071418,22,Tanzania,East African Coral Coast,UnfishedLow,Slope,Tim,2,39,0.019233278,55.11800003,0.002488,4.71999979,2.326403618,35.057789,0,0.226676524,997.5687256,4.65,0.066666667,29.71710265,-0.986327634,27.53,0.557933748,13.34288692,0.475149,0.158999994,0.055555561,34.63321716,8.211000443,0.516195224,-0.199555191,0.711099982,-0.359303885,146.75,30,23.25,2005,2007,11
